status_code, message, timestamp
2, "The PRT is currently down between Towers and Walnut Street.", 2011/02/01 12:41:07
1, "The PRT is currently running on a normal schedule.", 2011/01/19 14:05:58
1, "The PRT is currently running on a normal schedule.", 2010/09/10 16:05:18
1, "The PRT is currently running on a normal schedule.", 2012/01/11 10:42:52
4, "The PRT is currently down.", 2011/02/22 14:50:07
2, "The PRT is currently down between Engineering and Beechurst.", 2011/10/19 13:32:00
5, "PRT down at Beechurst NorthEngineeringTowers and HSC busses running", 2010/09/17 06:17:23
6, "The PRT is currently down at the Health Sciences Center station.", 2010/08/19 10:24:14
5, "The prt is out of service @ eng sta busses are picking up @ the crosswalk by the tennis courts outside of tow and @ the turnarounds outside of bee and eng", 2012/01/18 12:03:45
1, "The PRT is currently running on a normal schedule.", 2010/08/30 12:48:44
5, "the PRT is Down at beechurst Staion Buses are running", 2011/07/22 18:47:58
5, "The PRT will be out of service for technical issues for at least 10 minutes", 2010/09/18 12:28:52
1, "The PRT is currently running on a normal schedule.", 2010/10/27 10:40:38
1, "The PRT is currently running on a normal schedule.", 2011/04/15 12:22:43
1, "The PRT is currently running on a normal schedule.", 2010/09/07 15:56:33
1, "The PRT is currently running on a normal schedule.", 2012/01/30 06:49:33
5, "The PRT is currently out of service between Hospital and Towers busses will be picking up at the Towers crosswalk by the Tennis Courts and will be picking up below Mountaineer Station  ", 2010/09/13 11:17:56
5, "The PRT will be down temporary between Beechurst  Engineering and Towers stations WVU buses are operating at and between these stations .", 2010/11/18 08:19:58
2, "The PRT is currently down between Engineering and Beechurst.", 2011/01/20 08:16:08
1, "The PRT is currently running on a normal schedule.", 2012/01/11 10:55:32
5, "the prt will be temporarily out of service to reboot computers estimate no longer than 15 mins", 2011/10/25 10:21:46
2, "The PRT is currently down between Health Sciences Center and Beechurst.", 2010/09/17 15:22:42
1, "The PRT is currently running on a normal schedule.", 2010/08/20 12:37:54
1, "The PRT is currently running on a normal schedule.", 2011/11/16 10:08:33
1, "The PRT is currently running on a normal schedule.", 2011/07/23 12:20:58
1, "The PRT is currently running on a normal schedule.", 2010/09/18 16:19:51
5, "This is a test of the down time link  see if there is room for message to be typed directing passengers to bus locations when the PRT is not running", 2010/08/31 12:31:02
5, "The prt is out of service @ hos sta busses will be picking up @ the bottom of mtr sta outside of hos and @ the crosswalk by the tennis courts outside of tow", 2012/01/25 09:16:03
1, "The PRT is currently running on a normal schedule.", 2010/09/08 10:44:14
5, "The prt will be out of service between bee and eng for the removal of ice from the guideway busses will pick up @ the turnarounds outside of bee and eng", 2012/01/30 07:06:53
1, "The PRT is currently running on a normal schedule.", 2012/01/07 11:38:16
2, "The PRT is currently down between Engineering and Beechurst.", 2011/02/07 13:16:08
5, "Hospital Station is out of service", 2011/01/20 16:23:21
6, "The PRT is currently down at the Beechurst station.", 2010/12/02 13:33:48
5, "The PRT is Closed until May 16 2011", 2011/05/11 10:18:30
1, "The PRT is currently running on a normal schedule.", 2010/09/14 06:31:41
6, "The PRT is currently down at the Health Sciences Center station.", 2011/03/01 09:01:59
